_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84;HORAIRES;PLACES_PMR;PLACES_ELEC;PLACES_VELO;PLACES_MOTO
3697;13 Station Abonnement et Bonus Bretagne Sud;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;1 Rue Pierre Chéreau;;www.bicloo.nantesmetropole.fr;44000;-1,5591573179;47,2167500594;;;;;
3707;23 Station Accueil Buat;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;101 Rue Général Buat;;www.bicloo.nantesmetropole.fr;44000;-1,5424226434;47,2271569726;;;;;
3711;26 Station Abonnement et Bonus Guist'hau Sud;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;26T Boulevard Gabriel Guist'Hau;;www.bicloo.nantesmetropole.fr;44000;-1,5670233573;47,2168394453;;;;;
3762;76 Station Accueil Place René Bouhier;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;8 Place René Bouhier;;www.bicloo.nantesmetropole.fr;44100;-1,5705892867;47,209442041;;;;;
3744;59 Station Accueil Stade Saupin;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;35 Quai de Malakoff;;www.bicloo.nantesmetropole.fr;44000;-1,5396395813;47,213978001;;;;;
3765;79 Station Accueil Malakoff;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;13 Quai de Malakoff;;www.bicloo.nantesmetropole.fr;44000;-1,5364207159;47,2132345266;;;;;
299;Parking ouvrage Tour Bretagne;10;DEPLACEMENT;1001;Parking Ouvrage;100103;Mixte;;NANTES;4 Place de Bretagne;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,5582016394;47,2177394198;Ouvert de 6h30 à 22h30, 7j /7.;20;;6;27
1042;Gare de Nantes Sud;10;DEPLACEMENT;1004;Transport en commun;100403;Rail;;NANTES;2 Rue de Lourmel;;www.sncf.fr;44000;-1,5415584603;47,2164488544;;;;;
3706;22 Station Accueil Moquechien;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;8 Rue Moquechien;;www.bicloo.nantesmetropole.fr;44000;-1,5555829793;47,2203790475;;;;;
3732;47 Station Abonnement Martyrs Nantais;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;21 Boulevard Gaston Doumergue;;www.bicloo.nantesmetropole.fr;44200;-1,5481798505;47,2070353646;;;;;
